source,target,value
GENERAL GRIEVOUS,JAR JAR,1
BAIL ORGANA,PADME,8
GENERAL GRIEVOUS,PADME,3
EMPEROR,MON MOTHMA,2
EMPEROR,FANG ZAR,2
EMPEROR,GIDDEAN DANU,1
BAIL ORGANA,MON MOTHMA,2
BAIL ORGANA,FANG ZAR,2
BAIL ORGANA,GIDDEAN DANU,2
MON MOTHMA,PADME,2
FANG ZAR,PADME,3
GIDDEAN DANU,PADME,2
FANG ZAR,MON MOTHMA,2
GIDDEAN DANU,MON MOTHMA,2
FANG ZAR,GIDDEAN DANU,2
EMPEROR,PLO KOON,2
GENERAL GRIEVOUS,KI-ADI-MUNDI,3
ANAKIN,PLO KOON,2
GENERAL GRIEVOUS,YODA,3
GENERAL GRIEVOUS,PLO KOON,2
C-3PO,CAPTAIN TYPHO,3
CLONE COMMANDER GREE,YODA,2
C-3PO,MON MOTHMA,2
C-3PO,FANG ZAR,1
C-3PO,GIDDEAN DANU,1
CLONE COMMANDER CODY,OBI-WAN,2
ANAKIN,CLONE COMMANDER CODY,2
OBI-WAN,TION MEDON,1
GENERAL GRIEVOUS,TION MEDON,2
EMPEROR,POGGLE,1
GENERAL GRIEVOUS,NUTE GUNRAY,1
COUNT DOOKU,RUNE,1
GENERAL GRIEVOUS,RUNE,1
GENERAL GRIEVOUS,POGGLE,1
POGGLE,RUNE,2
ANAKIN,FANG ZAR,1
CLONE COMMANDER CODY,MACE WINDU,1
CLONE COMMANDER CODY,KI-ADI-MUNDI,1
CLONE COMMANDER CODY,YODA,1
CLONE COMMANDER CODY,GENERAL GRIEVOUS,1
DARTH VADER,EMPEROR,34
DARTH VADER,MACE WINDU,1
ANAKIN,DARTH VADER,11
DARTH VADER,PADME,4
DARTH VADER,GENERAL GRIEVOUS,1
DARTH VADER,OBI-WAN,19
CLONE COMMANDER CODY,EMPEROR,1
CLONE COMMANDER GREE,EMPEROR,1
CHEWBACCA,YODA,4
CHEWBACCA,CLONE COMMANDER GREE,1
BAIL ORGANA,CAPTAIN ANTILLES,2
DARTH VADER,NUTE GUNRAY,2
ANAKIN,RUNE,2
DARTH VADER,YODA,7
COUNT DOOKU,DARTH VADER,1
BAIL ORGANA,QUI-GON,2
C-3PO,YODA,3
R2-D2,YODA,11
C-3PO,LUKE,71
C-3PO,LEIA,92
LUKE,R2-D2,74
LEIA,R2-D2,45
BAIL ORGANA,LUKE,1
BAIL ORGANA,LEIA,1
LUKE,OBI-WAN,53
LEIA,OBI-WAN,12
LEIA,LUKE,75
LUKE,PADME,1
LUKE,YODA,11
LEIA,PADME,1
LEIA,YODA,4
C-3PO,CAPTAIN ANTILLES,2
CAPTAIN ANTILLES,R2-D2,2
DARTH VADER,TARKIN,11
EMPEROR,TARKIN,3
BERU,OBI-WAN,3
OBI-WAN,OWEN,5
C-3PO,YOUNG GIRL,1
R2-D2,YOUNG GIRL,1
DARTH VADER,YOUNG GIRL,1
DARTH VADER,LEIA,18
LEIA,YOUNG GIRL,2
BIGGS,LUKE,19
CAMIE,LUKE,2
BIGGS,CAMIE,2
DARTH VADER,SNAP,3
LEIA,SNAP,3
LUKE,OWEN,10
BIGGS,OWEN,2
BERU,LUKE,5
BIGGS,OBI-WAN,3
CAPTAIN ANTILLES,OBI-WAN,1
OBI-WAN,SNAP,2
BIGGS,C-3PO,5
C-3PO,SNAP,2
BIGGS,R2-D2,2
R2-D2,SNAP,1
BERU,LEIA,1
BERU,BIGGS,2
BERU,CAPTAIN ANTILLES,1
BERU,SNAP,1
CAPTAIN ANTILLES,LUKE,1
LUKE,SNAP,2
BIGGS,LEIA,5
CAPTAIN ANTILLES,LEIA,1
BIGGS,CAPTAIN ANTILLES,1
BIGGS,SNAP,1
CAPTAIN ANTILLES,SNAP,1
C-3PO,DARTH VADER,4
DARTH VADER,R2-D2,6
DARTH VADER,LUKE,43
DARTH VADER,MOTTI,2
EMPEROR,MOTTI,2
MOTTI,TARKIN,2
CHEWBACCA,OBI-WAN,14
C-3PO,CHEWBACCA,75
CHEWBACCA,LUKE,71
HAN,OBI-WAN,16
CHEWBACCA,HAN,148
HAN,LUKE,85
HAN,JABBA,11
GREEDO,HAN,2
GREEDO,JABBA,2
LEIA,TARKIN,2
CHEWBACCA,JABBA,7
CHEWBACCA,GREEDO,1
C-3PO,HAN,74
HAN,R2-D2,36
EMPEROR,LEIA,5
LEIA,MOTTI,1
CHEWBACCA,R2-D2,37
CHEWBACCA,LEIA,92
HAN,LEIA,104
OBI-WAN,TARKIN,2
CHEWBACCA,YOUNG GIRL,1
LUKE,YOUNG GIRL,1
HAN,YOUNG GIRL,1
CHEWBACCA,DARTH VADER,7
DARTH VADER,HAN,14
R2-D2,WEDGE,3
GOLD LEADER,R2-D2,1
DODONNA,R2-D2,3
CHEWBACCA,WEDGE,2
CHEWBACCA,GOLD LEADER,1
CHEWBACCA,DODONNA,2
LUKE,WEDGE,14
GOLD LEADER,LUKE,1
DODONNA,LUKE,5
HAN,WEDGE,3
GOLD LEADER,HAN,2
DODONNA,HAN,3
LEIA,WEDGE,7
GOLD LEADER,LEIA,3
DODONNA,LEIA,7
GOLD LEADER,WEDGE,6
DODONNA,WEDGE,5
DODONNA,GOLD LEADER,2
DODONNA,OBI-WAN,1
C-3PO,RED LEADER,4
C-3PO,DODONNA,5
LUKE,RED LEADER,11
HAN,RED LEADER,1
BIGGS,HAN,1
LEIA,RED LEADER,7
BIGGS,RED LEADER,5
DODONNA,RED LEADER,5
BIGGS,DODONNA,5
RED LEADER,WEDGE,6
GOLD LEADER,RED LEADER,3
C-3PO,WEDGE,5
BIGGS,WEDGE,5
LUKE,RED TEN,2
LEIA,RED TEN,1
RED LEADER,RED TEN,1
C-3PO,GOLD LEADER,1
BIGGS,GOLD LEADER,1
GOLD FIVE,GOLD LEADER,2
C-3PO,GOLD FIVE,1
GOLD FIVE,LEIA,1
DARTH VADER,GOLD LEADER,1
GOLD FIVE,RED LEADER,2
GOLD FIVE,LUKE,1
DARTH VADER,RED TEN,3
DARTH VADER,RED LEADER,2
DARTH VADER,WEDGE,1
BIGGS,DARTH VADER,1
HAN,SNAP,3
HAN,RIEEKAN,4
JABBA,LEIA,10
LEIA,RIEEKAN,6
JABBA,RIEEKAN,1
C-3PO,DERLIN,1
DERLIN,R2-D2,1
CHEWBACCA,DERLIN,1
DERLIN,LUKE,1
DERLIN,LEIA,2
HAN,YODA,4
HAN,ZEV,2
C-3PO,RIEEKAN,2
R2-D2,RIEEKAN,1
CHEWBACCA,RIEEKAN,2
LUKE,RIEEKAN,2
DARTH VADER,PIETT,9
DARTH VADER,OZZEL,2
OZZEL,PIETT,2
DACK,LUKE,4
JANSON,WEDGE,3
LUKE,ZEV,2
DARTH VADER,NEEDA,4
EMPEROR,PIETT,2
EMPEROR,NEEDA,1
NEEDA,PIETT,2
EMPEROR,LUKE,16
BOBA FETT,DARTH VADER,5
BOBA FETT,PIETT,1
C-3PO,LANDO,24
CHEWBACCA,LANDO,38
HAN,LANDO,35
LANDO,LEIA,34
EMPEROR,HAN,3
BOBA FETT,HAN,9
BOBA FETT,LANDO,9
DARTH VADER,LANDO,7
BOBA FETT,LEIA,5
BOBA FETT,JABBA,3
DARTH VADER,JABBA,1
JABBA,LANDO,9
LANDO,LUKE,21
EMPEROR,LANDO,2
BOBA FETT,C-3PO,5
BOBA FETT,CHEWBACCA,6
BOBA FETT,R2-D2,2
LANDO,R2-D2,10
BOBA FETT,LUKE,3
JABBA,LUKE,14
DARTH VADER,JERJERROD,2
EMPEROR,JERJERROD,2
EMPEROR,SNAP,2
JERJERROD,SNAP,2
C-3PO,JABBA,13
BIB FORTUNA,C-3PO,5
BIB FORTUNA,R2-D2,2
BIB FORTUNA,LUKE,4
BIB FORTUNA,JABBA,6
BIB FORTUNA,HAN,3
BOUSHH,C-3PO,2
BIB FORTUNA,BOBA FETT,1
BOBA FETT,BOUSHH,1
BIB FORTUNA,CHEWBACCA,1
BIB FORTUNA,LANDO,3
BIB FORTUNA,BOUSHH,2
BOUSHH,CHEWBACCA,1
BOUSHH,HAN,2
BOUSHH,LANDO,2
BOUSHH,JABBA,2
BIB FORTUNA,LEIA,2
BOUSHH,LEIA,1
BIB FORTUNA,OBI-WAN,1
JABBA,OBI-WAN,1
JERJERROD,OBI-WAN,1
DARTH VADER,OWEN,1
EMPEROR,OWEN,1
ANAKIN,LUKE,5
ANAKIN,LEIA,1
LEIA,OWEN,1
OWEN,YODA,1
ADMIRAL ACKBAR,C-3PO,2
ADMIRAL ACKBAR,R2-D2,1
MON MOTHMA,R2-D2,1
ADMIRAL ACKBAR,CHEWBACCA,1
CHEWBACCA,EMPEROR,1
CHEWBACCA,MON MOTHMA,1
ADMIRAL ACKBAR,EMPEROR,1
ADMIRAL ACKBAR,LUKE,1
ADMIRAL ACKBAR,HAN,4
ADMIRAL ACKBAR,LEIA,4
ADMIRAL ACKBAR,LANDO,6
ADMIRAL ACKBAR,WEDGE,2
ADMIRAL ACKBAR,MON MOTHMA,1
EMPEROR,WEDGE,1
LUKE,MON MOTHMA,1
HAN,MON MOTHMA,1
LEIA,MON MOTHMA,1
LANDO,WEDGE,7
LANDO,MON MOTHMA,1
MON MOTHMA,WEDGE,1
LUKE,PIETT,1
HAN,PIETT,1
LANDO,RED LEADER,2
ADMIRAL ACKBAR,GOLD LEADER,1
GOLD LEADER,LANDO,5
LANDO,OBI-WAN,1
ANAKIN,CHEWBACCA,1
ANAKIN,HAN,1
ANAKIN,LANDO,1
LANDO,YODA,1
LOR SAN TEKKA,POE,4
BB-8,POE,13
BB-8,LOR SAN TEKKA,3
KYLO REN,POE,2
CAPTAIN PHASMA,KYLO REN,1
KYLO REN,LOR SAN TEKKA,1
CAPTAIN PHASMA,POE,1
CAPTAIN PHASMA,LOR SAN TEKKA,1
CAPTAIN PHASMA,FINN,4
REY,UNKAR PLUTT,7
BB-8,REY,37
GENERAL HUX,KYLO REN,6
BB-8,UNKAR PLUTT,5
FINN,POE,16
KYLO REN,LIEUTENANT MITAKA,2
GENERAL HUX,LIEUTENANT MITAKA,1
FINN,LUKE,5
LUKE,POE,3
FINN,GENERAL HUX,1
CAPTAIN PHASMA,GENERAL HUX,1
KYLO REN,SNOKE,7
GENERAL HUX,SNOKE,4
FINN,UNKAR PLUTT,3
LUKE,UNKAR PLUTT,3
POE,UNKAR PLUTT,1
FINN,REY,54
BB-8,FINN,26
LUKE,REY,9
POE,REY,4
BB-8,LUKE,9
FINN,KYLO REN,7
FINN,LIEUTENANT MITAKA,1
CHEWBACCA,UNKAR PLUTT,3
CHEWBACCA,FINN,35
CHEWBACCA,REY,32
BB-8,CHEWBACCA,16
HAN,UNKAR PLUTT,3
FINN,HAN,35
HAN,REY,31
BB-8,HAN,18
BALA-TIK,CHEWBACCA,2
BALA-TIK,HAN,3
BALA-TIK,BB-8,2
BALA-TIK,FINN,1
BALA-TIK,REY,1
HAN,KYLO REN,8
GENERAL HUX,HAN,1
HAN,SNOKE,5
CHEWBACCA,MAZ,5
FINN,MAZ,5
MAZ,REY,6
HAN,MAZ,7
BB-8,MAZ,7
DARTH VADER,KYLO REN,2
FINN,LEIA,6
LEIA,REY,5
LEIA,MAZ,2
BB-8,LEIA,6
R2-D2,UNKAR PLUTT,1
KYLO REN,UNKAR PLUTT,1
R2-D2,REY,3
KYLO REN,R2-D2,1
BB-8,R2-D2,4
KYLO REN,REY,13
KYLO REN,LUKE,4
BB-8,KYLO REN,1
LUKE,MAZ,1
CHEWBACCA,POE,3
CHEWBACCA,SNAP,1
CHEWBACCA,JESS,1
FINN,SNAP,3
FINN,JESS,1
HAN,POE,4
HAN,JESS,1
POE,SNAP,5
JESS,POE,5
JESS,SNAP,2
CHEWBACCA,KYLO REN,5
C-3PO,MAZ,1
BB-8,C-3PO,7
ADMIRAL ACKBAR,FINN,2
ADMIRAL ACKBAR,POE,2
LEIA,POE,6
DARTH VADER,SNOKE,2
LUKE,SNOKE,2
LEIA,SNOKE,2
DARTH VADER,REY,1
REY,SNOKE,3
GENERAL HUX,LUKE,1
ADMIRAL ACKBAR,SNAP,1
ADMIRAL ACKBAR,ADMIRAL STATURA,1
C-3PO,FINN,2
C-3PO,POE,5
ADMIRAL STATURA,C-3PO,2
ADMIRAL STATURA,FINN,1
ADMIRAL STATURA,HAN,2
ADMIRAL STATURA,LEIA,2
ADMIRAL STATURA,POE,2
ADMIRAL STATURA,SNAP,1
BB-8,SNAP,1
CAPTAIN PHASMA,CHEWBACCA,2
CAPTAIN PHASMA,HAN,2
CAPTAIN PHASMA,REY,1
COLONEL DATOO,GENERAL HUX,2
ELLO ASTY,POE,3
ELLO ASTY,JESS,3
KYLO REN,SNAP,1
KYLO REN,LEIA,1
CHEWBACCA,SNOKE,2
FINN,SNOKE,2
NIV LEK,POE,2
POE,YOLO ZIFF,1
JESS,NIV LEK,2
JESS,YOLO ZIFF,1
ELLO ASTY,NIV LEK,2
ELLO ASTY,YOLO ZIFF,1
NIV LEK,YOLO ZIFF,1
C-3PO,REY,2
C-3PO,LOR SAN TEKKA,1
POE,R2-D2,1
LOR SAN TEKKA,R2-D2,1
LOR SAN TEKKA,REY,1
LOR SAN TEKKA,LUKE,1
LEIA,LOR SAN TEKKA,1
