source,target,value
ANAKIN,RUNE,2
ANAKIN,POGGLE,1
DARTH VADER,YODA,3
COUNT DOOKU,DARTH VADER,1
BAIL ORGANA,QUI-GON,2
OBI-WAN,QUI-GON,2
QUI-GON,YODA,2
C-3PO,YODA,3
R2-D2,YODA,3
PADME,YODA,3
C-3PO,LUKE,1
C-3PO,LEIA,1
LUKE,R2-D2,1
LEIA,R2-D2,1
BAIL ORGANA,LUKE,1
BAIL ORGANA,LEIA,1
LUKE,OBI-WAN,1
LEIA,OBI-WAN,1
LEIA,LUKE,1
LUKE,PADME,1
LUKE,YODA,1
LEIA,PADME,1
LEIA,YODA,1
EMPEROR,QUI-GON,1
ANAKIN,QUI-GON,1
C-3PO,CAPTAIN ANTILLES,1
CAPTAIN ANTILLES,R2-D2,1
PADME,SIO BIBBLE,1
DARTH VADER,TARKIN,1
EMPEROR,TARKIN,1
BERU,OBI-WAN,1
BERU,OWEN,1
OBI-WAN,OWEN,1
